source_fold,cell,group,n,pred_range_pp,pred_sd_pp,y_range_pp,y_sd_pp,constant_within_1e_8_pp,mae,rmse,p95_ae
XJTU__2C,PL12,B12,972,0.5749298310457451,0.03321876855207516,70.89278101921082,12.610177236830344,False,20.151443735648638,23.712555409739963,44.04480838597423
XJTU__2C,PL12,B123,972,0.7644429772861172,0.05308001494336007,70.89278101921082,12.610177236830344,False,20.09704147752169,23.673460325227378,44.001803055983956
XJTU__2C,PL12,B1234,972,0.7172700148160405,0.04879307108090345,70.89278101921082,12.610177236830344,False,19.985002625752493,23.57552456200391,43.88559959574115
XJTU__2C,PL13,B,871,0.0,0.0,20.845073461532593,5.7177318887529545,True,8.39042784015292,10.153410131205948,18.42169165611267
XJTU__2C,PL13,B1,871,0.0,2.220446049250313e-14,20.845073461532593,5.7177318887529545,True,8.428262484470544,10.184697661629235,18.459526300430294
XJTU__2C,PL13,B12,871,0.5010604062068102,0.1025003001625111,20.845073461532593,5.7177318887529545,False,7.978666790663357,9.785092195527657,17.941262445733326
XJTU__2C,PL13,B123,871,0.6348807966254255,0.11512370236143248,20.845073461532593,5.7177318887529545,False,7.825009904601414,9.655594005836342,17.779345720079437
XJTU__2C,PL13,B1234,871,0.6030923303752322,0.10789376793715663,20.845073461532593,5.7177318887529545,False,7.84936460815587,9.677483693826892,17.80805650880124
XJTU__2C,PL14,B,986,0.0,0.0,56.190282106399536,9.764944938004797,True,8.253233131724004,10.248418512650007,20.99449932575226
XJTU__2C,PL14,B1,986,0.0,1.1102230246251565e-14,56.190282106399536,9.764944938004797,True,8.300482355073306,10.35665461703109,21.334411501884464
XJTU__2C,PL14,B12,986,1.328176326987629,0.30728786526937624,56.190282106399536,9.764944938004797,False,8.370122820669257,10.523686763528849,21.807577650075544
XJTU__2C,PL14,B123,986,1.3612557838559303,0.30225584078773715,56.190282106399536,9.764944938004797,False,8.35277945722081,10.517372936663348,21.920679991991435
XJTU__2C,PL14,B1234,986,1.2924122102844549,0.2856635450588782,56.190282106399536,9.764944938004797,False,8.351663352134729,10.509493908157221,21.883946733249473
XJTU__3C,CS2_5,B,59,0.0,0.0,5.423128604888916,1.5143474477755627,True,2.7867822323815297,3.162535742026043,4.985683560371399
XJTU__3C,CS2_5,B1,59,0.8205443038205695,0.15815775837078402,5.423128604888916,1.5143474477755627,False,2.8791540615108673,3.229226862952589,4.985683560371399
XJTU__3C,CS2_5,B12,59,0.811996967322437,0.15651028172108916,5.423128604888916,1.5143474477755627,False,3.27576636349081,3.5902136144686603,5.386712091276422
XJTU__3C,CS2_5,B123,59,0.811996967322437,0.15651028172108916,5.423128604888916,1.5143474477755627,False,3.27576636349081,3.5902136144686603,5.386712091276422
XJTU__3C,CS2_5,B1234,59,0.811996967322437,0.15651028172108916,5.423128604888916,1.5143474477755627,False,3.27576636349081,3.5902136144686603,5.386712091276422
XJTU__3C,CS2_6,B,55,0.0,0.0,35.4189932346344,11.647907691817144,True,14.861196713014083,18.881973449297973,33.869638442993164
