dataset,group,cells,domains,points,mae,rmse,p95_ae,bias,bias_fraction,top5_error_share
MATR,B3__wave_pair_pls4__0.25,180,4,150665,2.677105549406423,3.6032722165983158,7.183216267542177,0.3413506699029385,0.7405412280772875,0.17538539753957444
MATR,B3__wave_pair_pls4__0.5,180,4,150665,2.671592908629479,3.591578867923451,7.1575879985506115,0.3460644881334784,0.7419307358874748,0.17488466559295898
MATR,B3__wave_pair_pls4__0.75,180,4,150665,2.668864485372317,3.585937500654768,7.145846484081754,0.3507783063640184,0.7388628243148853,0.17486077050007548
MATR,B3__wave_pair_pls4__1,180,4,150665,2.6689500476416237,3.5860096127883048,7.142506832843063,0.35549212459455837,0.7366452180544264,0.17534757733510445
Tongji,B,130,11,57733,6.669480265471828,8.234492223007413,15.231238431925595,3.647279460832732,0.8156296683024991,0.14046693729332357
Tongji,B1,130,11,57733,5.3881354923391305,6.495106041581729,11.330892477372897,3.8381780553920977,0.731857810583002,0.13846665591439045
Tongji,B12,130,11,57733,3.296514053158709,4.07764751259236,6.904843982436819,2.430229828815155,0.8021501791195185,0.13667798079969012
Tongji,B123__wave_absolute_pca8__0.25,130,11,57733,3.3265564496423057,4.104618655556154,6.94848843640356,2.5213890119808227,0.8007514006301001,0.1363700793715523
Tongji,B123__wave_absolute_pca8__0.5,130,11,57733,3.3600113453990548,4.135834165645035,6.996444433862521,2.612548195146491,0.7991762064932284,0.13635086140065986
Tongji,B123__wave_absolute_pca8__0.75,130,11,57733,3.397354755557086,4.171572166894971,7.052176117109362,2.7037073783121595,0.7952222857161569,0.1365402355624219
Tongji,B123__wave_absolute_pca8__1,130,11,57733,3.4389430017216664,4.21240873911916,7.11531343746338,2.7948665614778267,0.7911076500456352,0.13685777657351417
Tongji,B123__wave_absolute_pls4__0.25,130,11,57733,3.2518449335954625,4.033178235797743,6.852534589599873,2.4146102168750834,0.8028412629541328,0.13779500933626074
Tongji,B123__wave_absolute_pls4__0.5,130,11,57733,3.2174466201395218,4.00028499957756,6.826768536015299,2.398990604935012,0.8090938531195576,0.1388481942448067
Tongji,B123__wave_absolute_pls4__0.75,130,11,57733,3.194578976553531,3.979935908610433,6.8183631350668925,2.3833709929949407,0.8221313544305616,0.13944921536490515
Tongji,B123__wave_absolute_pls4__1,130,11,57733,3.1840930877716946,3.9711509564790206,6.824702167986738,2.36775138105487,0.8274696591096518,0.13915390125126526
Tongji,B123__wave_pair_pca8__0.25,130,11,57733,3.1833798738550545,3.9544681999430225,6.685018100417337,2.37224848344396,0.8051269888294279,0.13751693883187308
Tongji,B123__wave_pair_pca8__0.5,130,11,57733,3.078263676244278,3.8408007654297154,6.484002868327168,2.3142671380727653,0.8074277521330806,0.1384001191115752
Tongji,B123__wave_pair_pca8__0.75,130,11,57733,2.982955560006653,3.738337929290427,6.303941960440823,2.256285792701571,0.8062919631295062,0.13933362162274077
Tongji,B123__wave_pair_pca8__1,130,11,57733,2.8999351781420177,3.6483360618754617,6.144035957578212,2.198304447330376,0.8003683558084433,0.14032519769452617
Tongji,B123__wave_pair_pls4__0.25,130,11,57733,3.234754865411536,4.017777674735219,6.811192517343745,2.3926441814981976,0.8031820824525451,0.13789683430918004
Tongji,B123__wave_pair_pls4__0.5,130,11,57733,3.175348583850679,3.9619051270717764,6.720936405586887,2.35505853418124,0.8032791974842186,0.1392736152674648
Tongji,B123__wave_pair_pls4__0.75,130,11,57733,3.1185976971773512,3.910341554543235,6.643115310182341,2.3174728868642833,0.8039857981796209,0.14087451223132927
Tongji,B123__wave_pair_pls4__1,130,11,57733,3.064496907180438,3.8633653287967507,6.576590603169614,2.279887239547326,0.8031450306979161,0.1427027597707186
Tongji,B13__wave_absolute_pca8__0.25,130,11,57733,5.3712055407362636,6.467827441045401,11.267203109985259,3.8584356010303478,0.7339997890432787,0.13838325998313775
Tongji,B13__wave_absolute_pca8__0.5,130,11,57733,5.355606020692272,6.441890098323475,11.203664976309796,3.8786931466685983,0.7357610598870252,0.13831939586069347
Tongji,B13__wave_absolute_pca8__0.75,130,11,57733,5.341507976035547,6.417327040070703,11.143710464766258,3.898950692306849,0.7369963409448669,0.13826296665807306
Tongji,B13__wave_absolute_pca8__1,130,11,57733,5.328821558342751,6.394174949138773,11.081120685687205,3.919208237945099,0.7376606643055873,0.13821078163718176
Tongji,B13__wave_absolute_pls4__0.25,130,11,57733,5.313103307080326,6.410027074948686,11.195390253565582,3.778122891284791,0.7334647124374425,0.1388651058419508
Tongji,B13__wave_absolute_pls4__0.5,130,11,57733,5.240388100658457,6.327441531753834,11.063236563399894,3.7180677271774845,0.7342284071875569,0.1394499894860296
Tongji,B13__wave_absolute_pls4__0.75,130,11,57733,5.170809260717453,6.247954714333916,10.928765050532427,3.6580125630701783,0.7323189977663112,0.14027544727671512
Tongji,B13__wave_absolute_pls4__1,130,11,57733,5.105957268614572,6.1730037720934465,10.80336179389851,3.597957398962872,0.7250107563150199,0.14111378389778537
Tongji,B13__wave_pair_pca8__0.25,130,11,57733,5.157325802737622,6.223415187492041,10.817462349962454,3.7848965093416242,0.7400420618274073,0.13861396869185447
Tongji,B13__wave_pair_pca8__0.5,130,11,57733,4.934629398881305,5.9623882446602146,10.31282015308398,3.7316149632911486,0.7482025659869319,0.13884472104143605
Tongji,B13__wave_pair_pca8__0.75,130,11,57733,4.723855886597695,5.714638082438345,9.830860032057869,3.6783334172406743,0.757733331517473,0.13913402912092332
Tongji,B13__wave_pair_pca8__1,130,11,57733,4.52509661739553,5.483487828114078,9.362232626707625,3.625051871190199,0.7681759845052234,0.13984137260234972
Tongji,B13__wave_pair_pls4__0.25,130,11,57733,5.28776609805563,6.387778428424681,11.125775931646281,3.794841893174769,0.7327718715623992,0.1393127923396201
Tongji,B13__wave_pair_pls4__0.5,130,11,57733,5.190016448778859,6.284269229478443,10.929690297786623,3.7515057309574398,0.7335201077657684,0.14031229304967396
Tongji,B13__wave_pair_pls4__0.75,130,11,57733,5.095130603852403,6.184936073954265,10.745895902672858,3.7081695687401104,0.7340315620540011,0.1414369981377057
Tongji,B13__wave_pair_pls4__1,130,11,57733,5.003636152113281,6.090166910172135,10.569403964955201,3.664833406522781,0.734218377567824,0.1426105494111148
Tongji,B2,130,11,57733,3.5974305376712454,4.387608032276175,7.313402585932815,2.7827346633164134,0.7976216461231669,0.13457067177967844
Tongji,B23__wave_absolute_pca8__0.25,130,11,57733,3.619192438228835,4.407105472432892,7.3503048753379465,2.866765760594659,0.8040937453181033,0.13437150315670057
Tongji,B23__wave_absolute_pca8__0.5,130,11,57733,3.6445856690374243,4.431327500787768,7.391521309683432,2.9507968578729047,0.8098835316662865,0.1344053551839009
Tongji,B23__wave_absolute_pca8__0.75,130,11,57733,3.674079129897592,4.460492955714854,7.445130418680162,3.034827955151151,0.8119134370316893,0.13460991087256735
Tongji,B23__wave_absolute_pca8__1,130,11,57733,3.708118661067013,4.495106258276671,7.5044285008740985,3.118859052429396,0.8132471225070415,0.13491314400530555
Tongji,B23__wave_absolute_pls4__0.25,130,11,57733,3.5412510309517997,4.330937333945837,7.2397795848769455,2.7599058990207137,0.7931151286437191,0.13560307071998096
Tongji,B23__wave_absolute_pls4__0.5,130,11,57733,3.4962728487731316,4.287143664167709,7.200117047955558,2.7370771347250145,0.8007414984215754,0.13616443537716535
Tongji,B23__wave_absolute_pls4__0.75,130,11,57733,3.4631054454767254,4.2563164623442225,7.179492694934612,2.714248370429315,0.8164031274152606,0.13654082075450616
Tongji,B23__wave_absolute_pls4__1,130,11,57733,3.4422353780747836,4.237343539052563,7.1736898302118846,2.6914196061336146,0.8214147285877551,0.13651168689181922
