dataset,domain,group,mae,rmse,p95_ae,low_mae,low_rmse,low_p95_ae
MATR,b1,B234,1.607314411246986,2.585022359266668,5.88876894627521,5.063926086932724,5.3771883398470814,7.343445136731345
MATR,b1,B1234,1.4392775479532374,2.2735264130934696,5.031772200153987,4.312919531712114,4.527763999677154,6.123365796274653
Tongji,Tongji1_CY25-025_1,B,5.614927824330098,7.22872542946463,14.615982856069293,10.416536028474875,10.92444537332571,15.4903729898589
Tongji,Tongji1_CY25-025_1,B1,6.148362878435722,7.709665727384013,14.807395132049807,11.052101544342552,11.42952127408593,15.649043070148542
Tongji,Tongji1_CY25-025_1,B2,8.222924060284837,9.693580447389683,17.023942352608323,13.599072479769532,13.881303101187845,17.650160017044414
Tongji,Tongji1_CY25-025_1,B12,7.113366930219606,8.668733297428618,15.823338656499377,12.345617493727204,12.65939681753119,16.50544507890325
Tongji,Tongji1_CY25-025_1,B3,5.614927824330098,7.22872542946463,14.615982856069293,10.416536028474875,10.92444537332571,15.4903729898589
Tongji,Tongji1_CY25-025_1,B13,6.148362878435722,7.709665727384013,14.807395132049807,11.052101544342552,11.42952127408593,15.649043070148542
Tongji,Tongji1_CY25-025_1,B23,8.222924060284837,9.693580447389683,17.023942352608323,13.599072479769532,13.881303101187845,17.650160017044414
Tongji,Tongji1_CY25-025_1,B123,7.113366930219606,8.668733297428618,15.823338656499377,12.345617493727204,12.65939681753119,16.50544507890325
Tongji,Tongji1_CY25-025_1,B4,5.578216436825319,6.988128050693741,13.336565914783069,10.124324052856865,10.455894046259028,14.074730213729286
Tongji,Tongji1_CY25-025_1,B14,6.1188994153888645,7.441628576020955,13.470499351142772,10.600998189757624,10.850527194985556,14.204356450581747
Tongji,Tongji1_CY25-025_1,B24,7.693517848790095,8.966274996142317,15.15489869933785,12.511226391327861,12.7097199106254,15.709242478953655
Tongji,Tongji1_CY25-025_1,B124,6.856086926787329,8.184298122075912,14.261347097757039,11.571135151796115,11.787024756659818,14.841927821496617
Tongji,Tongji1_CY25-025_1,B34,5.578216436825319,6.988128050693741,13.336565914783069,10.124324052856865,10.455894046259028,14.074730213729286
Tongji,Tongji1_CY25-025_1,B134,6.1188994153888645,7.441628576020955,13.470499351142772,10.600998189757624,10.850527194985556,14.204356450581747
Tongji,Tongji1_CY25-025_1,B234,7.693517848790095,8.966274996142317,15.15489869933785,12.511226391327861,12.7097199106254,15.709242478953655
Tongji,Tongji1_CY25-025_1,B1234,6.856086926787329,8.184298122075912,14.261347097757039,11.571135151796115,11.787024756659818,14.841927821496617
MATR,b3,B,1.4412641852197539,1.7262911719479188,3.0322289887547136,2.8560576423617263,2.953402516636786,3.5980530561735393
MATR,b3,B1,1.4734724023351229,1.8929383623880955,3.6161412940837225,3.2523406905408123,3.307713740912154,3.9076271364011403
MATR,b3,B2,1.1710805709254608,1.421618710321328,2.5701319614218234,2.2547018112777577,2.333844465415635,2.9694504792885446
MATR,b3,B12,1.1575424451268046,1.414034681339183,2.5841448749871874,2.255916860545706,2.336193141580065,2.9708481915372476
MATR,b3,B3,1.3035792671850082,1.5513505689126625,2.6877663491489123,2.4734619841457457,2.5731493434032573,3.3088580778242442
MATR,b3,B13,1.331005276668975,1.693615396560428,3.194131052493635,2.7794359354058558,2.855152276961621,3.57593442229503
MATR,b3,B23,1.1201708586622383,1.3596684214526673,2.4314688454449582,2.0549970050779125,2.154904360874145,2.914883896605494
MATR,b3,B123,1.1133009935625406,1.3568056180745098,2.442998809227592,2.0604046449857636,2.164317824909261,2.9284114086575816
MATR,b3,B4,1.4255318339200087,1.710935514519582,3.044003343098158,2.8798985064489457,2.9715290406521837,3.620108928590971
MATR,b3,B14,1.4611182081284537,1.880525909472987,3.606963452136495,3.2702852284784774,3.3238269041354456,3.9181442451856414
MATR,b3,B24,1.17029947859008,1.422989701593792,2.5744011993263243,2.2894741623102144,2.3633589457394018,2.995949452615838
MATR,b3,B124,1.1585588358883925,1.41678363559821,2.589558530943785,2.2904349159880724,2.363219137344848,2.992545027425266
MATR,b3,B34,1.2967582888748743,1.5480014376507034,2.7115789393749092,2.515681667986381,2.6092997280504133,3.352927193353908
